DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,GR,NBGRCFM,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT
1877.1,,,,,17.5,,,86.9887,,,,0.8022,0.7023,0.6446,,0.6639,36.8578,0.6639,0.6446,0.6639
1877.2,,,,,17.5,,,83.588,,,,0.7886,0.6997,0.6448,,0.6666,36.8447,0.6666,0.6448,0.6666
1877.3,,,,,17.5,,,89.8895,,,,0.7613,0.6936,0.6418,,0.6705,36.8316,0.6705,0.6418,0.6705
1877.4,,,,,17.5,,,86.9031,,,,0.763,0.6935,0.6389,,0.669,36.8184,0.669,0.6389,0.669
1877.5,,,,,17.5,,,81.8596,,,,0.7636,0.6923,0.6336,,0.6656,36.8279,0.6656,0.6336,0.6656
1877.6,,,,,17.5,,,82.7171,,,,0.7688,0.6923,0.6244,,0.6648,36.8374,0.6648,0.6244,0.6648
1877.7,,,,,17.5,,,87.1479,,,,0.7931,0.6963,0.6244,,0.6588,36.8469,0.6588,0.6244,0.6588
1877.8,,,,,17.5,,,90.3787,,,,0.7977,0.6974,0.6239,,0.6678,36.8473,0.6678,0.6239,0.6678
1877.9,,,,,17.5,,,86.8016,,,,0.8024,0.6985,0.6233,,0.6767,36.8476,0.6767,0.6233,0.6767
1878.0,,,,,17.5,,,86.5106,,,,0.8031,0.6963,0.6336,,0.6684,36.848,0.6684,0.6336,0.6684
1878.1,,,,,17.5,,,82.7183,,,,0.7722,0.6934,0.6394,,0.6615,36.8567,0.6615,0.6394,0.6615
1878.2,,,,,17.5,,,83.0281,,,,0.7536,0.6931,0.6433,,0.6606,36.8654,0.6606,0.6433,0.6606
1878.3,,,,,17.5,,,84.4239,,,,0.743,0.695,0.6459,,0.6731,36.8741,0.6731,0.6459,0.6731
1878.4,,,,,17.5,,,85.9297,,,,0.7451,0.7002,0.6546,,0.6783,36.8747,0.6783,0.6546,0.6783
1878.5,,,,,17.5,,,88.8288,,,,0.7546,0.7027,0.6579,,0.6788,36.8753,0.6788,0.6579,0.6788
1878.6,,,,,17.5,,,89.1051,,,,0.7642,0.7053,0.6612,,0.6795,36.8758,0.6795,0.6612,0.6795
1878.7,,,,,17.5,,,87.8818,,,,0.8183,0.715,0.6751,,0.7085,36.8463,0.7085,0.6751,0.7085
1878.8,,,,,17.5,,,83.8283,,,,0.8867,0.723,0.7063,,0.8072,36.8167,0.8071,0.7062,0.8072
1878.9,,,,,17.5,,,76.825,,,,0.8622,0.7171,0.7741,,0.9799,36.7873,0.9798,0.774,0.9799
1879.0,,,,,17.5,,,69.1637,,,,0.7749,0.699,0.8862,,1.1748,36.7958,1.1747,0.8862,1.1748
1879.1,,,,,17.5,,,63.6603,,,,0.6837,0.6888,0.9207,,1.3074,36.8042,1.3074,0.9207,1.3074
1879.2,,,,,17.5,,,61.8454,,,,0.715,0.6993,0.8833,,1.2242,36.8056,1.2242,0.8833,1.2242
1879.3,,,,,17.5,,,61.7489,,,,0.7464,0.7098,0.8457,,1.1407,33.7662,1.1409,0.8457,1.1407
1879.4,,,,,17.5,,,59.9089,,,,0.8466,0.7265,0.7498,,0.9032,30.7269,0.9033,0.7498,0.9032
1879.5,,,,,17.5,,,64.5685,,,,0.8581,0.7352,0.7028,,0.7451,27.6832,0.7451,0.7029,0.7451
1879.6,,,,,17.5,,,70.7841,,,,0.8087,0.7285,0.6774,,0.6919,22.8368,0.6919,0.6774,0.6919
1879.7,,,,,17.5,,,73.1775,,,,0.7731,0.7242,0.6694,,0.6738,17.9904,0.6738,0.6694,0.6738
1879.8,,,,,17.5,,,73.8154,,,,0.7606,0.7229,0.6661,,0.6727,13.1612,0.6727,0.6661,0.6727
1879.9,,,,,17.5,,,77.053,,,,0.7649,0.7239,0.6658,,0.667,15.5698,0.667,0.6658,0.667
1880.0,,,,,17.5,,,79.451,,,,0.7692,0.7249,0.6655,,0.6613,17.9784,0.6613,0.6655,0.6613
1880.1,,,,,17.5,,,82.09,,,,0.7858,0.7229,0.6633,,0.6604,20.3874,0.6604,0.6633,0.6604
1880.2,,,,,17.5,,,85.8055,,,,0.8041,0.726,0.6688,,0.6779,23.0052,0.6779,0.6688,0.6779
1880.3,,,,,17.5,,,84.7788,,,,0.8164,0.7285,0.6726,,0.6927,25.623,0.6927,0.6726,0.6927
1880.4,,,,,17.5,,,87.1133,,,,0.8223,0.7277,0.675,,0.7079,28.2385,0.7079,0.675,0.7079
1880.5,,,,,17.5,,,85.7332,,,,0.8174,0.7273,0.6793,,0.7073,29.8574,0.7073,0.6793,0.7073
1880.6,,,,,17.5,,,84.927,,,,0.8124,0.7268,0.6837,,0.7067,31.4763,0.7067,0.6837,0.7067
1880.7,,,,,17.5,,,91.8175,,,,0.8056,0.7246,0.6825,,0.7117,33.0923,0.7117,0.6825,0.7117
1880.8,,,,,17.5,,,96.6492,,,,0.8094,0.7259,0.6843,,0.7118,33.4801,0.7118,0.6843,0.7118
1880.9,,,,,17.5,,,84.6194,,,,0.8111,0.7237,0.6768,,0.7121,33.8678,0.7121,0.6768,0.7121
1881.0,,,,,17.5,,,84.3777,,,,0.8119,0.7258,0.6778,,0.7094,34.2554,0.7094,0.6778,0.7094
1881.1,,,,,17.5,,,87.4015,,,,0.8095,0.7262,0.6742,,0.7067,34.5927,0.7067,0.6742,0.7067
1881.2,,,,,17.5,,,88.3732,,,,0.8116,0.727,0.6729,,0.7026,34.93,0.7026,0.6729,0.7026
1881.3,,,,,17.5,,,90.9752,,,,0.8137,0.7278,0.6716,,0.6985,35.2674,0.6985,0.6716,0.6985
1881.4,,,,,17.5,,,96.7114,,,,0.8156,0.732,0.6694,,0.7002,35.6551,0.7002,0.6694,0.7002
1881.5,,,,,17.5,,,91.0684,,,,0.8188,0.735,0.6728,,0.6976,36.0428,0.6976,0.6728,0.6976
1881.6,,,,,17.5,,,85.2011,,,,0.8153,0.7364,0.6819,,0.7161,36.4298,0.7161,0.6819,0.7161
1881.7,,,,,17.5,,,86.1812,,,,0.8196,0.7384,0.6911,,0.7225,36.5709,0.7225,0.6911,0.7225
1881.8,,,,,17.5,,,88.866,,,,0.8205,0.7412,0.7006,,0.7308,36.7119,0.7308,0.7006,0.7308
1881.9,,,,,17.5,,,88.1432,,,,0.8194,0.7406,0.7008,,0.734,36.8526,0.734,0.7008,0.734
1882.0,,,,,17.5,,,84.2502,,,,0.8182,0.7401,0.701,,0.7371,36.8625,0.7371,0.701,0.7371
1882.1,,,,,17.5,,,81.0441,,,,0.8193,0.7419,0.7052,,0.7374,36.8723,0.7374,0.7052,0.7374
1882.2,,,,,17.5,,,85.7704,,,,0.8237,0.7448,0.7114,,0.744,36.8813,0.744,0.7114,0.744
1882.3,,,,,17.5,,,95.2659,,,,0.8337,0.7484,0.7152,,0.748,36.5014,0.748,0.7152,0.748
1882.4,,,,,17.5,,,88.3969,,,,0.8517,0.7535,0.717,,0.7421,36.1216,0.7421,0.717,0.7421
1882.5,,,,,17.5,,,85.2767,,,,0.8814,0.7664,0.7159,,0.7366,35.7427,0.7366,0.7159,0.7366
1882.6,,,,,17.5,,,86.898,,,,0.839,0.7731,0.7321,,0.7415,35.7813,0.7415,0.7321,0.7415
1882.7,,,,,17.5,,,87.5779,,,,0.8383,0.7807,0.739,,0.7375,35.8199,0.7375,0.739,0.7375
1882.8,,,,,17.5,,,88.2361,,,,0.8334,0.7823,0.739,,0.729,35.8587,0.729,0.739,0.729
1882.9,,,,,17.5,,,95.8037,,,,0.8285,0.7838,0.739,,0.7206,35.9716,0.7206,0.739,0.7206
1883.0,,,,,17.5,,,92.7002,,,,0.8299,0.7866,0.7368,,0.7087,36.0845,0.7087,0.7368,0.7087
1883.1,,,,,17.5,,,90.4959,,,,0.8323,0.7906,0.7314,,0.7092,36.197,0.7092,0.7314,0.7092
1883.2,,,,,17.5,,,89.6028,,,,0.8429,0.7954,0.7305,,0.7094,36.1872,0.7094,0.7305,0.7094
1883.3,,,,,17.5,,,88.5631,,,,0.8486,0.7968,0.7228,,0.711,36.1774,0.711,0.7228,0.711
1883.4,,,,,17.5,,,89.1947,,,,0.8568,0.7997,0.7218,,0.7069,36.1639,0.7069,0.7218,0.7069
1883.5,,,,,17.5,,,92.3066,,,,0.865,0.8026,0.7207,,0.7029,34.6043,0.7029,0.7207,0.7029
1883.6,,,,,17.5,,,85.6212,,,,0.8827,0.8079,0.724,,0.7097,33.0447,0.7096,0.724,0.7097
1883.7,,,,,17.5,,,84.6463,,,,0.8697,0.8073,0.7523,,0.7763,31.4855,0.7762,0.7523,0.7763
1883.8,,,,,17.5,,,84.6811,,,,0.81,0.7842,0.8163,,0.944,30.0707,0.9439,0.8163,0.944
1883.9,,,,,17.5,,,80.0934,,,,0.7589,0.7662,0.8986,,1.1304,28.656,1.1304,0.8986,1.1304
1884.0,,,,,17.5,,,72.3616,,,,0.7717,0.7727,0.8874,,1.2222,27.2409,1.2223,0.8874,1.2222
1884.1,,,,,17.5,,,66.468,,,,0.8373,0.7872,0.8455,,1.1073,25.6568,1.1074,0.8455,1.1073
1884.2,,,,,17.5,,,65.668,,,,0.9029,0.8017,0.8036,,0.9922,24.0728,0.9923,0.8036,0.9922
1884.3,,,,,17.5,,,73.7392,,,,0.9922,0.8203,0.7517,,0.8011,22.4916,0.8011,0.7517,0.8011
1884.4,,,,,17.5,,,81.3274,,,,0.9391,0.8146,0.7372,,0.7397,22.1602,0.7397,0.7372,0.7397
1884.5,,,,,17.5,,,90.8947,,,,0.881,0.8095,0.7332,,0.7302,21.8287,0.7302,0.7332,0.7302
1884.6,,,,,17.5,,,97.6799,,,,0.8533,0.8094,0.7328,,0.7338,21.5,0.7338,0.7328,0.7338
1884.7,,,,,17.5,,,99.0175,,,,0.847,0.8078,0.7383,,0.7394,22.3519,0.7394,0.7383,0.7394
