DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCEHM,RPCELM,RT
434.9,,,,,26.0,,,,,64.5437,,,1.3979,1.299,,50.1667,1.3406,1.2793,1.3406
435.0,,,,,26.0,,,,,65.1613,,,1.3942,1.3044,,50.1626,1.3208,1.2846,1.3208
435.1,,,,,26.0,,,,,66.0977,,,1.3906,1.3097,,50.1654,1.3012,1.2899,1.3012
435.2,,,,,26.0,,,,,67.7673,,,1.3932,1.3155,,50.1683,1.3112,1.2894,1.3112
435.3,,,,,26.0,,,,,68.255,,,1.3958,1.3214,,50.1712,1.3211,1.2888,1.3211
435.4,,,,,26.0,,,,,69.3547,,,1.4098,1.3329,,50.1815,1.298,1.2793,1.298
435.5,,,,,26.0,,,,,72.7719,,,1.4068,1.3395,,50.1918,1.2715,1.2903,1.2715
435.6,,,,,26.0,,,,,70.9593,,,1.4039,1.3461,,50.2022,1.2458,1.3013,1.2458
435.7,,,,,26.0,,,,,68.8332,,,1.4469,1.3606,,50.2074,1.4445,1.3294,1.4445
435.8,,,,,26.0,,,,,67.5783,,,1.4568,1.3731,,50.2127,1.4046,1.3464,1.4046
435.9,,,,,26.0,,,,,66.0734,,,1.4669,1.3856,,50.2179,1.3649,1.3634,1.3649
436.0,,,,,26.0,,,,,65.1796,,,1.5234,1.4091,,50.2284,1.4056,1.4108,1.4056
436.1,,,,,26.0,,,,,67.0923,,,1.5503,1.4241,,50.239,1.4309,1.4177,1.4309
436.2,,,,,26.0,,,,,66.4211,,,1.5772,1.4391,,50.2495,1.4562,1.4246,1.4562
436.3,,,,,26.0,,,,,64.179,,,1.5786,1.4532,,50.2154,1.4602,1.4666,1.4602
436.4,,,,,26.0,,,,,59.6476,,,1.6047,1.452,,50.1814,1.5172,1.4594,1.5172
436.5,,,,,26.0,,,,,61.3883,,,1.6306,1.451,,50.1468,1.5739,1.4526,1.5739
